Date	logret
1/20/1989	-0.012774288
1/23/1989	0
1/24/1989	0.025183546
1/25/1989	0.017973371
1/26/1989	-0.00590886
1/27/1989	0.00590886
1/30/1989	0.005829544
1/31/1989	0.011429462
2/1/1989	0
2/2/1989	0.005603878
2/3/1989	0
2/6/1989	0.005532489
2/7/1989	-0.022565828
2/8/1989	0
2/9/1989	-0.023802915
2/10/1989	0.012064511
2/13/1989	0.011738403
2/14/1989	0
2/15/1989	0
2/16/1989	0.011429462
2/17/1989	-0.011429462
2/21/1989	-0.017728767
2/22/1989	0.011899223
2/23/1989	-0.011899223
2/24/1989	0.005990364
2/27/1989	0.00590886
2/28/1989	0
3/1/1989	0.011581873
3/2/1989	-0.005752329
3/3/1989	0.017033339
3/6/1989	0
3/7/1989	-0.01128101
3/8/1989	0.01128101
3/9/1989	-0.01128101
3/10/1989	0.005677133
3/13/1989	-0.017259005
3/14/1989	-0.011899223
3/15/1989	0.011899223
3/16/1989	-0.02413368
3/17/1989	-0.012589127
3/20/1989	0.012589127
3/21/1989	-0.019023237
3/22/1989	0.012774288
3/23/1989	0.006248949
3/27/1989	0
3/28/1989	0
3/29/1989	0.012234456
3/30/1989	0.017728767
3/31/1989	-0.005829544
4/3/1989	-0.00590886
4/4/1989	0
4/5/1989	0
4/6/1989	0.017490732
4/7/1989	0
4/10/1989	0.022276395
4/11/1989	0.015988105
4/12/1989	-0.00526424
4/13/1989	0.015605073
4/14/1989	-0.00513964
4/17/1989	0
4/18/1989	0.00513964
4/19/1989	-0.010340833
4/20/1989	0
4/21/1989	0
4/24/1989	-0.00526424
4/25/1989	-0.005328834
4/26/1989	0.010593073
4/27/1989	0
4/28/1989	0
5/1/1989	0.005201194
5/2/1989	0.00513964
5/3/1989	0
5/4/1989	-0.00513964
5/5/1989	0
5/8/1989	0
5/9/1989	0
5/10/1989	0.00513964
5/11/1989	0.015063746
5/12/1989	0.004907334
5/15/1989	-0.004907334
5/16/1989	0.009759837
5/17/1989	0.009545318
5/18/1989	0.009340026
5/19/1989	-0.004644905
5/22/1989	-0.014240439
5/23/1989	0.004798883
5/24/1989	0
5/25/1989	0.009441556
5/26/1989	0
5/30/1989	0
5/31/1989	0.009240657
6/1/1989	0
6/2/1989	-0.028333599
6/5/1989	0.009651386
6/6/1989	0.009441556
6/7/1989	-0.014240439
6/8/1989	0
6/9/1989	0.009545318
6/12/1989	-0.019305155
6/13/1989	-0.00496342
6/14/1989	-0.010100327
6/15/1989	0.010100327
6/16/1989	0
6/19/1989	-0.015239967
6/20/1989	0.00513964
6/21/1989	0.015063746
6/22/1989	0
6/23/1989	0.009759837
6/26/1989	0.004798883
6/27/1989	-0.01455872
6/28/1989	-0.02540458
6/29/1989	0
6/30/1989	-0.00526424
7/3/1989	-0.005328834
7/5/1989	0
7/6/1989	0.010593073
7/7/1989	0.010340833
7/10/1989	0
7/11/1989	0
7/12/1989	0
7/13/1989	0.005079526
7/14/1989	0.019744058
7/17/1989	-0.035164417
7/18/1989	-0.00526424
7/19/1989	0.00526424
7/20/1989	0.010340833
7/21/1989	-0.015605073
7/24/1989	-0.005328834
7/25/1989	0.005328834
7/26/1989	0.015605073
7/27/1989	0
7/28/1989	0.015063746
7/31/1989	-0.020203386
8/1/1989	0.00513964
8/2/1989	0.019971081
8/3/1989	0.009651386
8/4/1989	0.014086461
8/7/1989	0.004595752
8/8/1989	-0.023481096
8/9/1989	0
8/10/1989	-0.009759837
8/11/1989	-0.009984221
8/14/1989	0.005020801
8/15/1989	-0.02044116
8/16/1989	0.010340833
8/17/1989	0
8/18/1989	-0.010340833
8/21/1989	0.005201194
8/22/1989	0.015239967
8/23/1989	0.00496342
8/24/1989	0
8/25/1989	0
8/28/1989	-0.015063746
8/29/1989	0.010100327
8/30/1989	-0.005020801
8/31/1989	0.005020801
9/1/1989	0.00496342
9/5/1989	-0.009984221
9/6/1989	-0.005079526
9/7/1989	0
9/8/1989	0
9/11/1989	0.019971081
9/12/1989	0
9/13/1989	0
9/14/1989	0.004852503
9/15/1989	-0.009759837
9/18/1989	0
9/19/1989	0.009759837
9/20/1989	0.004798883
9/21/1989	0
9/22/1989	0
9/25/1989	0.009441556
9/26/1989	-0.009441556
9/27/1989	0.004746435
9/28/1989	0.004695121
9/29/1989	0
10/2/1989	-0.009441556
10/3/1989	0.009441556
10/4/1989	0.009240657
10/5/1989	0.004547628
10/6/1989	0.013363962
10/9/1989	-0.004409119
10/10/1989	-0.004454341
10/11/1989	0
10/12/1989	-0.027730342
10/13/1989	0.018682213
10/16/1989	0.004547628
10/17/1989	0.004500501
10/18/1989	0.013228266
10/19/1989	0
10/20/1989	-0.017728767
10/23/1989	-0.004547628
10/24/1989	-0.004595752
10/25/1989	-0.009340026
10/26/1989	-0.004746435
10/27/1989	0.009441556
10/30/1989	0.018288786
10/31/1989	-0.009048129
11/1/1989	-0.023481096
11/2/1989	-0.009759837
11/3/1989	-0.015063746
11/6/1989	0.024823584
11/7/1989	0.004798883
11/8/1989	0.009441556
11/9/1989	0.004644905
11/10/1989	0.004595752
11/13/1989	0
11/14/1989	0.009048129
11/15/1989	-0.004500501
11/16/1989	0.008954843
11/17/1989	-0.008954843
11/20/1989	0
11/21/1989	0.013363962
11/22/1989	0.004364805
11/24/1989	0
11/27/1989	-0.004364805
11/28/1989	0.004364805
11/29/1989	0
11/30/1989	0.004321374
12/1/1989	0.008515851
12/4/1989	-0.004237053
12/5/1989	-0.008600172
12/6/1989	0
12/7/1989	-0.017728767
12/8/1989	-0.013788284
12/11/1989	-0.004695121
12/12/1989	0.004695121
12/13/1989	-0.014240439
12/14/1989	-0.009759837
12/15/1989	-0.009984221
12/18/1989	0.014891555
12/19/1989	0.004852503
12/20/1989	0.028028724
12/21/1989	-0.004547628
12/22/1989	-0.004595752
12/26/1989	0.018098222
12/27/1989	0
12/28/1989	0.004409119
12/29/1989	0.01720203
1/2/1990	-0.012837225
1/3/1990	0.012837225
1/4/1990	-0.004237053
1/5/1990	0.004237053
1/8/1990	0.012468641
1/9/1990	-0.012468641
1/10/1990	0
1/11/1990	-0.008515851
1/12/1990	0.004278798
1/15/1990	0.024823584
1/16/1990	0
1/17/1990	-0.004039978
1/18/1990	0.00804272
1/19/1990	-0.012120633
1/22/1990	0
1/23/1990	0.012120633
1/24/1990	0.003966187
1/25/1990	0.003930294
1/26/1990	-0.003930294
1/29/1990	-0.00796893
1/30/1990	0.019654688
1/31/1990	-0.003860421
2/1/1990	0.003860421
2/2/1990	0.007619397
2/5/1990	0
2/6/1990	0.003760149
2/7/1990	0
2/8/1990	0
2/9/1990	-0.011379546
2/12/1990	0.003826408
2/13/1990	0.003792989
2/14/1990	0.003760149
2/15/1990	-0.003760149
