12/31/1987,EQ-DE,EQ-EM,BO-CO,NAREIT,Gold,Risk Free
11/30/1995,0.033118663,-0.018781271,0.017729019,0.010031093,0.005547007,0.0042
12/29/1995,0.02767075,0.042482203,0.008776856,0.0548709,0.030993257,0.0049
1/31/1996,0.016575421,0.070139996,-0.002530058,0.0191509,0.013292281,0.0043
2/29/1996,0.004562925,-0.017530412,-0.019780387,0.0077063,-0.021135294,0.0039
3/29/1996,0.015105547,0.005967795,-0.007361035,-0.00143573,-0.008479511,0.0039
4/30/1996,0.021998623,0.036442132,-0.002529639,0.003247097,-0.002327027,0.0046
5/31/1996,-0.000632448,-0.006909962,-0.001074676,0.027141555,-0.016994812,0.0042
6/28/1996,0.003556558,0.004108291,0.008903983,0.013777375,-0.00466835,0.004
7/31/1996,-0.036850713,-0.070191861,0.01837208,0.008612751,0.010107824,0.0045
8/30/1996,0.009915484,0.024169729,-0.004599188,0.0406875,-0.010879788,0.0041
9/30/1996,0.037599058,0.007301963,0.023967266,0.0173874,-0.005404082,0.0044
10/31/1996,0.00547981,-0.027431463,0.025400251,0.032086969,-0.008437447,0.0042
11/29/1996,0.054534822,0.0155659,0.000126557,0.0454969,-0.023429344,0.0041
12/31/1996,-0.017446992,0.003385239,-0.008455628,0.099643,-0.037649814,0.0046
1/31/1997,0.010629454,0.067392377,0.015221822,0.011135668,-0.023998694,0.0045
2/28/1997,0.010081029,0.042178142,-0.009958515,0.00085836,0.015076915,0.0039
3/31/1997,-0.021209878,-0.028783129,-0.004862094,-0.00925172,-0.020849923,0.0043
4/30/1997,0.031235436,-0.001760563,0.016842313,-0.0227936,-0.001836799,0.0043
5/30/1997,0.060291193,0.02591191,0.018065048,0.032,-0.008965964,0.0049
6/30/1997,0.048538121,0.051444651,0.023157377,0.04799877,-0.048869981,0.0037
7/31/1997,0.044798275,0.01298263,0.000491491,0.029926,-0.000291103,0.0043
8/29/1997,-0.068107492,-0.128413612,0.010384724,-0.002003554,-0.003664309,0.0041
9/30/1997,0.053023365,0.026177443,0.014596796,0.07987768,0.006347173,0.0044
10/31/1997,-0.053887486,-0.164901553,0.007244452,-0.0254828,-0.057974385,0.0042
11/28/1997,0.016375063,-0.037182444,0.008703674,0.016954563,-0.056513972,0.0039
12/31/1997,0.010895892,0.021792661,0.017892088,0.019685478,0.001223004,0.0048
1/30/1998,0.026582574,-0.079201872,-0.000744885,-0.004679161,0.029046697,0.0043
2/27/1998,0.066364843,0.103831784,0.001676218,-0.016968258,-0.005215563,0.0039
3/31/1998,0.041019334,0.040035112,0.007411124,0.01649289,0.041711337,0.0039
4/30/1998,0.00859696,-0.012864207,0.005375059,-0.03214641,-0.02979386,0.0043
